id,created_at,name,description,image_url,video_url,release_date,language,status,director_id,studio_id
49,2023-02-03 12:42:42.022663+00,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,https://youtu.be/Lt-U_t2pUHI,2016-11-04,English,2,33,9
52,2023-02-03 12:49:39.304538+00,Captain Marvel,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,https://youtu.be/Z1BCujX3pw8,2019-03-08,English,2,36,9
56,2023-02-03 13:00:16.488125+00,Spider-Man: Far from Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,https://youtu.be/DYYtuKyMtY8,2019-07-02,English,2,38,8
69,2023-02-04 03:16:44.901739+00,X-Men: Apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/lRxsDK4exeEgKoXqI4zdr0Vl0yk.jpg,https://youtu.be/COvnHv42T-A,2016-05-27,English,2,7,13
71,2023-02-04 03:21:40.359195+00,Jurassic World Dominion,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,https://youtu.be/DtQycgMD4HQ,2022-06-10,English,2,41,12
72,2023-02-04 03:25:29.060806+00,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,https://youtu.be/Ue4PCI0NamI,2015-09-30,English,2,47,13
76,2023-02-04 03:35:54.735753+00,Jason Bourne,The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/xA7N41glw17MBQtcWSm2eBlBRuG.jpg,https://youtu.be/_gBnmKOixDM,2016-07-27,English,2,48,12
79,2023-02-04 08:38:32.748806+00,Ad Astra,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg,https://youtu.be/P6AaSMfXHbA,2019-09-20,English,2,50,13
83,2023-02-04 08:49:17.215083+00,Salt,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ppXyhOe8UCEOrBRSYqE3SkHwrcR.jpg,https://youtu.be/QZ40WlshNwU,2010-07-23,English,2,54,8
87,2023-02-04 09:06:33.968025+00,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/jyzrfx2WaeY60kYZpPYepSjGz4S.jpg,https://youtu.be/4F33PCUTWPk,2014-06-27,English,2,55,1
58,2023-02-03 13:04:53.848214+00,WandaVision,Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems.,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/frobUz2X5Pc8OiVZU8Oo5K3NKMM.jpg,https://youtu.be/62EB4JniuTc,2021-01-15,English,2,,9
