id,movie_id,category_id,created_at
203,68,2,2023-02-04 03:15:11.841998+00
204,68,16,2023-02-04 03:15:11.841998+00
205,69,1,2023-02-04 03:16:44.968261+00
206,69,2,2023-02-04 03:16:44.968261+00
207,69,16,2023-02-04 03:16:44.968261+00
208,69,10,2023-02-04 03:16:44.968261+00
209,70,1,2023-02-04 03:20:05.772134+00
210,70,2,2023-02-04 03:20:05.772134+00
211,70,16,2023-02-04 03:20:05.772134+00
212,71,1,2023-02-04 03:21:40.425221+00
213,71,2,2023-02-04 03:21:40.425221+00
214,71,16,2023-02-04 03:21:40.425221+00
215,72,2,2023-02-04 03:25:29.123697+00
216,72,6,2023-02-04 03:25:29.123697+00
217,72,16,2023-02-04 03:25:29.123697+00
218,73,1,2023-02-04 03:29:34.171125+00
219,73,6,2023-02-04 03:29:34.171125+00
220,74,1,2023-02-04 03:33:29.530943+00
221,74,6,2023-02-04 03:33:29.530943+00
222,74,18,2023-02-04 03:33:29.530943+00
223,75,1,2023-02-04 03:34:34.908215+00
224,75,6,2023-02-04 03:34:34.908215+00
225,75,18,2023-02-04 03:34:34.908215+00
226,76,1,2023-02-04 03:35:54.839918+00
227,76,18,2023-02-04 03:35:54.839918+00
228,77,1,2023-02-04 03:37:56.50465+00
229,77,6,2023-02-04 03:37:56.50465+00
230,77,18,2023-02-04 03:37:56.50465+00
231,77,16,2023-02-04 03:37:56.50465+00
232,78,1,2023-02-04 08:33:12.750473+00
233,78,5,2023-02-04 08:33:12.750473+00
234,78,6,2023-02-04 08:33:12.750473+00
235,78,18,2023-02-04 08:33:12.750473+00
236,79,6,2023-02-04 08:38:32.824076+00
237,79,16,2023-02-04 08:38:32.824076+00
238,80,1,2023-02-04 08:40:38.065018+00
239,80,6,2023-02-04 08:40:38.065018+00
240,80,3,2023-02-04 08:40:38.065018+00
241,81,10,2023-02-04 08:45:09.606859+00
242,81,2,2023-02-04 08:45:09.606859+00
243,81,1,2023-02-04 08:45:09.606859+00
244,81,13,2023-02-04 08:45:09.606859+00
245,81,7,2023-02-04 08:45:09.606859+00
246,82,13,2023-02-04 08:47:14.081878+00
247,82,10,2023-02-04 08:47:14.081878+00
248,82,2,2023-02-04 08:47:14.081878+00
249,82,1,2023-02-04 08:47:14.081878+00
250,83,1,2023-02-04 08:49:17.294848+00
251,83,18,2023-02-04 08:49:17.294848+00
252,84,2,2023-02-04 09:02:22.116421+00
253,84,16,2023-02-04 09:02:22.116421+00
254,84,1,2023-02-04 09:02:22.116421+00
255,85,1,2023-02-04 09:03:34.388741+00
256,85,2,2023-02-04 09:03:34.388741+00
257,85,16,2023-02-04 09:03:34.388741+00
258,86,1,2023-02-04 09:05:14.042094+00
259,86,2,2023-02-04 09:05:14.042094+00
260,86,16,2023-02-04 09:05:14.042094+00
261,87,1,2023-02-04 09:06:34.046887+00
262,87,2,2023-02-04 09:06:34.046887+00
263,87,16,2023-02-04 09:06:34.046887+00
264,88,1,2023-02-04 09:07:40.311882+00
265,88,2,2023-02-04 09:07:40.311882+00
266,88,16,2023-02-04 09:07:40.311882+00
267,89,1,2023-02-04 09:09:30.035392+00
268,89,2,2023-02-04 09:09:30.035392+00
269,89,16,2023-02-04 09:09:30.035392+00
