id,movie_id,actor_id,created_at
270,73,10,2023-02-04 03:29:34.316034+00
271,73,130,2023-02-04 03:29:34.316034+00
272,74,10,2023-02-04 03:33:29.598755+00
273,74,130,2023-02-04 03:33:29.598755+00
274,75,10,2023-02-04 03:34:34.989164+00
275,75,131,2023-02-04 03:34:34.989164+00
276,76,10,2023-02-04 03:35:54.920637+00
277,76,106,2023-02-04 03:35:54.920637+00
278,76,131,2023-02-04 03:35:54.920637+00
279,77,10,2023-02-04 03:37:56.581709+00
280,78,15,2023-02-04 08:33:12.823109+00
281,78,55,2023-02-04 08:33:12.823109+00
282,78,3,2023-02-04 08:33:12.823109+00
283,79,15,2023-02-04 08:38:32.925016+00
284,79,106,2023-02-04 08:38:32.925016+00
285,80,15,2023-02-04 08:40:38.340338+00
286,80,52,2023-02-04 08:40:38.340338+00
287,81,55,2023-02-04 08:45:09.688242+00
289,83,55,2023-02-04 08:49:17.372833+00
290,84,52,2023-02-04 09:02:22.184758+00
291,84,133,2023-02-04 09:02:22.184758+00
292,84,134,2023-02-04 09:02:22.184758+00
297,86,52,2023-02-04 09:05:14.115329+00
298,86,134,2023-02-04 09:05:14.115329+00
299,86,74,2023-02-04 09:05:14.115329+00
302,88,39,2023-02-04 09:07:40.383624+00
303,88,134,2023-02-04 09:07:40.383624+00
312,94,11,2023-02-06 02:52:18.690422+00
316,96,138,2023-02-06 03:03:05.230532+00
317,96,11,2023-02-06 03:03:05.230532+00
318,96,40,2023-02-06 03:03:05.230532+00
319,96,37,2023-02-06 03:03:05.230532+00
320,96,139,2023-02-06 03:03:05.230532+00
321,96,140,2023-02-06 03:03:05.230532+00
334,100,142,2023-02-06 03:41:44.028545+00
335,100,141,2023-02-06 03:41:44.028545+00
288,82,55,2023-02-04 08:47:14.157761+00
300,87,39,2023-02-04 09:06:34.123266+00
301,87,135,2023-02-04 09:06:34.123266+00
304,90,11,2023-02-06 02:41:24.3856+00
305,90,136,2023-02-06 02:41:24.3856+00
306,91,11,2023-02-06 02:42:50.246659+00
307,91,136,2023-02-06 02:42:50.246659+00
310,93,11,2023-02-06 02:50:13.652657+00
311,93,137,2023-02-06 02:50:13.652657+00
326,98,60,2023-02-06 03:33:21.975774+00
327,98,21,2023-02-06 03:33:21.975774+00
328,98,73,2023-02-06 03:33:21.975774+00
329,98,72,2023-02-06 03:33:21.975774+00
330,98,78,2023-02-06 03:33:21.975774+00
336,101,21,2023-02-06 03:44:23.120766+00
337,101,60,2023-02-06 03:44:23.120766+00
338,101,73,2023-02-06 03:44:23.120766+00
339,101,72,2023-02-06 03:44:23.120766+00
340,101,141,2023-02-06 03:44:23.120766+00
341,101,32,2023-02-06 03:44:23.120766+00
293,85,52,2023-02-04 09:03:34.457895+00
294,85,133,2023-02-04 09:03:34.457895+00
295,85,134,2023-02-04 09:03:34.457895+00
296,85,74,2023-02-04 09:03:34.457895+00
308,92,11,2023-02-06 02:44:46.484149+00
309,92,136,2023-02-06 02:44:46.484149+00
313,95,138,2023-02-06 02:55:50.672604+00
314,95,11,2023-02-06 02:55:50.672604+00
315,95,40,2023-02-06 02:55:50.672604+00
322,97,138,2023-02-06 03:05:02.621681+00
323,97,11,2023-02-06 03:05:02.621681+00
324,97,140,2023-02-06 03:05:02.621681+00
325,97,40,2023-02-06 03:05:02.621681+00
331,99,60,2023-02-06 03:36:39.667293+00
332,99,74,2023-02-06 03:36:39.667293+00
333,99,67,2023-02-06 03:36:39.667293+00
342,102,21,2023-02-06 03:47:03.957047+00
343,102,60,2023-02-06 03:47:03.957047+00
344,102,51,2023-02-06 03:47:03.957047+00
345,102,72,2023-02-06 03:47:03.957047+00
346,102,74,2023-02-06 03:47:03.957047+00
347,102,67,2023-02-06 03:47:03.957047+00
348,102,141,2023-02-06 03:47:03.957047+00
349,102,32,2023-02-06 03:47:03.957047+00
350,102,68,2023-02-06 03:47:03.957047+00
351,103,21,2023-02-06 03:50:22.63636+00
352,103,60,2023-02-06 03:50:22.63636+00
353,103,51,2023-02-06 03:50:22.63636+00
354,103,72,2023-02-06 03:50:22.63636+00
355,103,73,2023-02-06 03:50:22.63636+00
356,103,74,2023-02-06 03:50:22.63636+00
357,103,141,2023-02-06 03:50:22.63636+00
358,103,32,2023-02-06 03:50:22.63636+00
359,103,67,2023-02-06 03:50:22.63636+00
360,103,68,2023-02-06 03:50:22.63636+00
361,103,143,2023-02-06 03:50:22.63636+00
362,104,21,2023-02-06 03:55:43.764901+00
363,104,60,2023-02-06 03:55:43.764901+00
